compound,node_id,original_name,primary_flavor,flavor_strength,salt,fat,acid,heat,umami,sweet,bitter,aromatic
hexyl_acetate,7489,Hexyl_acetate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
1-nonanol,7490,1-Nonanol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
nonyl_acetate,7491,Nonyl_Acetate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
4-methoxyphenol,7492,4-Methoxyphenol,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"1,4-dimethoxybenzene",7493,"1,4-Dimethoxybenzene",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
citronellyl_acetate,7494,Citronellyl_acetate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"1,3-dimethoxybenzene",7495,"1,3-Dimethoxybenzene",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
cianidanol,7496,Cianidanol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
thiazole,7497,Thiazole,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
pyrazine,7498,Pyrazine,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
piperonyl_acetate,7499,Piperonyl_Acetate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
3-acetylpyridine,7500,3-Acetylpyridine,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
diethyl_sulfide,7501,Diethyl_sulfide,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
6-methyl-5-hepten-2-one,7502,6-Methyl-5-Hepten-2-One,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
beta-cyclocitral,7503,beta-Cyclocitral,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"1,4-cineole",7504,"1,4-Cineole",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
483-77-2,7505,483-77-2,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
dillapiole,7506,Dillapiole,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
elemicin,7507,Elemicin,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
thymoquinone,7508,Thymoquinone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
piperitol,7509,Piperitol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2(5h)-furanone,7510,2(5H)-Furanone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
carvomenthone,7511,Carvomenthone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
carvacrol,7512,Carvacrol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-(4-hydroxyphenyl)ethanol,7513,2-(4-Hydroxyphenyl)ethanol,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
citronellic_acid,7514,Citronellic_acid,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
(e)-.beta.-farnesene,7515,(E)-.beta.-Farnesene,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"6,10,14-trimethylpentadecan-2-one",7516,"6,10,14-Trimethylpentadecan-2-one",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
isovaleric_acid,7517,Isovaleric_Acid,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3-methylthiopropanol,7518,3-methylthiopropanol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"1,3-dithiane",7519,"1,3-Dithiane",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"1,4-dithiane",7520,"1,4-Dithiane",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"bicyclo[2.2.1]heptane,_2-methyl-3-methylene-2-(4-methyl-3-pentenyl)-,_(1s-exo)-",7521,"Bicyclo[2.2.1]heptane,_2-methyl-3-methylene-2-(4-methyl-3-pentenyl)-,_(1S-exo)-",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
isobutyl_mercaptan,7522,Isobutyl_mercaptan,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
myrtenol,7523,Myrtenol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
bisabolol,7524,Bisabolol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
apiole,8681,Apiole,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
flavone,7526,Flavone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-isopropyltoluene,7527,2-Isopropyltoluene,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-methylbenzaldehyde,7528,2-Methylbenzaldehyde,aromatic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7-methoxycoumarin,7529,7-Methoxycoumarin,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"1,1-dimethoxyethane",7530,"1,1-Dimethoxyethane",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-methylfuran,7531,2-Methylfuran,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
m-cymene,7532,M-Cymene,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
1-(4-methylphenyl)ethanol,7533,1-(4-Methylphenyl)ethanol,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
perilla_alcohol,7534,Perilla_alcohol,aromatic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3-ethylpyridine,7535,3-Ethylpyridine,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
(ethoxymethyl)benzene,7536,(Ethoxymethyl)benzene,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
ethyl_pentanoate,7537,Ethyl_pentanoate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
ethyl_levulinate,7538,Ethyl_Levulinate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
isobutyl_butyrate,7539,Isobutyl_butyrate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
pentyl_hexanoate,7540,Pentyl_Hexanoate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
pentyl_butyrate,7541,Pentyl_Butyrate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
isobutyl_propionate,7542,Isobutyl_propionate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"1,2-ethanedithiol",7543,"1,2-Ethanedithiol",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
isoamyl_mercaptan,7544,Isoamyl_mercaptan,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"3,3-dimethylacrylic_acid",7545,"3,3-Dimethylacrylic_acid",acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"2,4-dimethylthiazole",7546,"2,4-Dimethylthiazole",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"1,3-dichlorobenzene",7547,"1,3-Dichlorobenzene",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
isobutyl_formate,7548,Isobutyl_Formate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
ethyl_isothiocyanate,7549,Ethyl_isothiocyanate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
myrcenol,7550,Myrcenol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-heptanol,7551,2-Heptanol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
dibutyl_sulfide,7552,Dibutyl_sulfide,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
tetradecanoic_acid,7553,Tetradecanoic_acid,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hexadecane,7554,Hexadecane,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
3-thujanone,7555,3-Thujanone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
methyl_isobutyrate,7556,Methyl_Isobutyrate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
methyl_propionate,7557,Methyl_Propionate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-methylthiophene,7558,2-Methylthiophene,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
linamarin,7559,Linamarin,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
beta-phellandrene,7560,Beta-Phellandrene,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
methyl_isovalerate,7561,Methyl_isovalerate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
methyl_isothiocyanate,7562,Methyl_Isothiocyanate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
methyl_thiocyanate,7563,Methyl_Thiocyanate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
3-methyl-2-buten-1-ol,7564,3-Methyl-2-Buten-1-Ol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
propyl_isovalerate,7565,Propyl_Isovalerate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
terpinen-4-ol,7566,Terpinen-4-ol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
3-methyl-2-butanone,7567,3-Methyl-2-Butanone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-methyl-3-pentanone,7568,2-Methyl-3-Pentanone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"2,6-dimethylphenol",7569,"2,6-Dimethylphenol",acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"1-phenyl-1,2-propanedione",7570,"1-Phenyl-1,2-Propanedione",acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"octane-2,3-dione",7571,"Octane-2,3-dione",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
terpinolene,7572,Terpinolene,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
gamma-terpineol,7573,gamma-Terpineol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
1-terpineol,7574,1-Terpineol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
3-methyl-1-pentanol,7575,3-Methyl-1-Pentanol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
3-hexanone,7576,3-Hexanone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
isobutyl_isovalerate,7577,Isobutyl_Isovalerate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
3-heptanol,7578,3-Heptanol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"cis-1,4-dimethylcyclohexane",7579,"cis-1,4-Dimethylcyclohexane",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
3-octanol,7580,3-Octanol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
butyl_propionate,7581,Butyl_propionate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-methyl-2-pentanol,7582,2-Methyl-2-Pentanol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
3-methylbutanal,7583,3-Methylbutanal,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
alpha-angelica_lactone,7584,alpha-Angelica_lactone,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3-methylcyclohexanone,7585,3-Methylcyclohexanone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
3-methoxybenzaldehyde,7586,3-Methoxybenzaldehyde,aromatic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
levulinic_acid,7587,Levulinic_Acid,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2-hexanone,7588,2-Hexanone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
acetoxyacetone,7589,Acetoxyacetone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
butyl_isothiocyanate,7590,Butyl_isothiocyanate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
butyl_formate,7591,Butyl_Formate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
diallyl_sulfide,7592,Diallyl_Sulfide,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-tridecanone,7593,2-Tridecanone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
octadecane,7594,Octadecane,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
3-methyl-2-butanol,7595,3-Methyl-2-Butanol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"2,3-pentanedione",7596,"2,3-Pentanedione",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
methyl_2-furoate,7597,Methyl_2-furoate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
1-penten-3-ol,7598,1-Penten-3-Ol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
ethyl_pyruvate,7599,Ethyl_Pyruvate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
isopropyl_isobutyrate,7600,Isopropyl_Isobutyrate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
dihydrocarveol,7601,Dihydrocarveol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
5-methylfurfural,7602,5-Methylfurfural,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
3-methylbenzaldehyde,7603,3-Methylbenzaldehyde,aromatic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
cyclohexyl_acetate,7604,Cyclohexyl_Acetate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
furfuryl_acetate,7605,Furfuryl_acetate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
3-hexanol,7606,3-Hexanol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
methyl_butyrate,7607,Methyl_butyrate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
methyl_valerate,7608,Methyl_Valerate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-methylbutyl_acetate,7609,2-Methylbutyl_Acetate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
ethyl_methyl_sulfide,7610,Ethyl_methyl_sulfide,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
dimethyl_disulfide,7611,Dimethyl_disulfide,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
isopropyl_formate,7612,Isopropyl_Formate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"2,5-dimethylfuran",7613,"2,5-Dimethylfuran",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-pentyl_acetate,7614,2-Pentyl_Acetate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
propyl_hexanoate,7615,Propyl_Hexanoate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
butyl_hexanoate,7616,Butyl_hexanoate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-hexanol,7617,2-Hexanol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
ethyl_undecanoate,7618,Ethyl_Undecanoate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
5-methylhexanoic_acid,7619,5-Methylhexanoic_Acid,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
amyl_acetate,7620,Amyl_acetate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
ethyl_palmitate,7621,Ethyl_Palmitate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-nonanol,7622,2-Nonanol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
dipropyl_disulfide,7623,Dipropyl_disulfide,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
tridecane,7624,Tridecane,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
tetradecane,7625,Tetradecane,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
pentadecane,7626,Pentadecane,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
1-hexadecene,7627,1-Hexadecene,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
heptadecane,7628,Heptadecane,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
nonadecane,7629,Nonadecane,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
heneicosane,7630,Heneicosane,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
docosane,7631,Docosane,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
isopropyl_propionate,7632,Isopropyl_Propionate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"2,5-dimethylthiophene",7633,"2,5-Dimethylthiophene",acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
pentyl_formate,7634,Pentyl_formate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
tricosane,7635,Tricosane,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-propylphenol,7636,2-Propylphenol,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
propyl_isobutyrate,7637,Propyl_Isobutyrate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
4-propylphenol,7638,4-Propylphenol,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3-phenylpropanenitrile,7639,3-Phenylpropanenitrile,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4-methylpentanoic_acid,7640,4-Methylpentanoic_Acid,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
isoamyl_isovalerate,7641,Isoamyl_Isovalerate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-decanone,7642,2-Decanone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
4-methylthiazole,7643,4-Methylthiazole,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
gamma-caprolactone,7644,gamma-Caprolactone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
delta-octanolactone,7645,delta-Octanolactone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
benzyl_methyl_disulfide,7646,Benzyl_methyl_disulfide,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
delta-decalactone,7647,Delta-Decalactone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
gamma-decalactone,7648,gamma-Decalactone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
delta-dodecalactone,7649,Delta-Dodecalactone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
benzyl_methyl_sulfide,7650,Benzyl_methyl_sulfide,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
calcium_lactate,7651,calcium_lactate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-nonanone,7652,2-Nonanone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
delta-hexalactone,7653,delta-Hexalactone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
methyl_2-methylbutyrate,7654,Methyl_2-methylbutyrate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
allyl_mercaptan,7655,Allyl_Mercaptan,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
6-undecanone,7656,6-Undecanone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
6-methylheptan-2-one,7657,6-Methylheptan-2-one,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
3-decanone,7658,3-Decanone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
3-ethyl-o-xylene,7659,3-Ethyl-o-xylene,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
isopropyl_benzoate,7660,Isopropyl_Benzoate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
1h-pyrrole-2-carbaldehyde,7661,1H-Pyrrole-2-carbaldehyde,aromatic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2-acetylpyrrole,7662,2-Acetylpyrrole,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
1-methyl-3-propylbenzene,7663,1-Methyl-3-Propylbenzene,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
thymol_methyl_ether,7664,Thymol_methyl_ether,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
hexyl_octanoate,7665,Hexyl_octanoate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
myrcenyl_acetate,7666,Myrcenyl_acetate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
undecane,7667,Undecane,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-acetylpyridine,7668,2-Acetylpyridine,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"2,3,5,6-tetramethylpyrazine",7669,"2,3,5,6-Tetramethylpyrazine",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"3',4'-dimethoxyacetophenone",7670,"3',4'-Dimethoxyacetophenone",acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2-methylheptanoic_acid,7671,2-Methylheptanoic_Acid,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2-acetylfuran,7672,2-Acetylfuran,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
3-methyl-2-cyclohexen-1-one,7673,3-Methyl-2-Cyclohexen-1-One,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-acetyl-5-methylfuran,7674,2-Acetyl-5-Methylfuran,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
fenchone,7675,Fenchone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-(4-methylphenyl)propan-2-ol,7676,2-(4-methylphenyl)propan-2-ol,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
calcium_oxide,7677,Calcium_Oxide,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
beta-pinene,7678,Beta-Pinene,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
1-furfurylpyrrole,7679,1-Furfurylpyrrole,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"7-methyl-4-methylidene-1-propan-2-yl-2,3,4a,5,6,8a-hexahydro-1h-naphthalene",7680,"7-methyl-4-methylidene-1-propan-2-yl-2,3,4a,5,6,8a-hexahydro-1H-naphthalene",acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
bis(methylthio)methane,7681,Bis(methylthio)methane,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
ethyl_vinyl_ketone,7682,Ethyl_Vinyl_Ketone,aromatic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fenchol,7683,Fenchol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-undecanol,7684,2-Undecanol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
ethylcyclohexane,7685,Ethylcyclohexane,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
decane,7686,Decane,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
methyl_nonanoate,7687,Methyl_Nonanoate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
4-methyl-5-vinylthiazole,7688,4-Methyl-5-Vinylthiazole,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
ethyl_3-phenylpropionate,7689,Ethyl_3-phenylpropionate,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
isopentyl_octanoate,7690,Isopentyl_octanoate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
diallyl_trisulfide,7691,Diallyl_trisulfide,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
perillaldehyde,7692,Perillaldehyde,aromatic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
terpinyl_formate,7693,Terpinyl_formate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
diallyl_disulfide,7694,Diallyl_Disulfide,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
allyl_propyl_disulfide,7695,Allyl_Propyl_Disulfide,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
methyl_propyl_disulfide,7696,Methyl_propyl_disulfide,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
isopentyl_hexanoate,7697,Isopentyl_hexanoate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
l-menthol,7698,l-Menthol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
d-carvone,7699,d-Carvone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
phenethyl_isothiocyanate,7700,Phenethyl_isothiocyanate,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2-pentylpyridine,7701,2-Pentylpyridine,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
gamma-dodecalactone,7702,gamma-Dodecalactone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
isopropyl_hexanoate,7703,Isopropyl_Hexanoate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
propyl_benzoate,7704,Propyl_Benzoate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
