compound,node_id,original_name,primary_flavor,flavor_strength,salt,fat,acid,heat,umami,sweet,bitter,aromatic
"2,6-dimethylpyridine",7387,"2,6-Dimethylpyridine",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"2,6-dimethylpyrazine",7388,"2,6-Dimethylpyrazine",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
dimethyl_malonate,7389,Dimethyl_malonate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
ethyl_isovalerate,7390,Ethyl_Isovalerate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
mesitylene,7391,Mesitylene,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"2,6-dimethyl-4-heptanol",7392,"2,6-Dimethyl-4-heptanol",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"2,6-dimethyl-4-heptanone",7393,"2,6-Dimethyl-4-heptanone",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
methylcyclohexane,7394,Methylcyclohexane,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
chlorobenzene,7395,Chlorobenzene,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
cyclohexanol,7396,Cyclohexanol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
cyclohexanone,7397,Cyclohexanone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-methylpyridine,7398,2-Methylpyridine,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-methylpyrazine,7399,2-Methylpyrazine,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
butyl_isovalerate,7400,Butyl_Isovalerate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
butyl_butyrate,7401,Butyl_butyrate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
valeric_acid,7402,Valeric_acid,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
propyl_acetate,7403,Propyl_acetate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
pentane,7404,Pentane,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
butylamine,7405,Butylamine,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
1-butanethiol,7406,1-Butanethiol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
diethylamine,7407,Diethylamine,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
ethyl_formate,7408,Ethyl_Formate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
pyrrole,7409,Pyrrole,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
isobutyl_acetate,7410,Isobutyl_Acetate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
isopropyl_myristate,7411,Isopropyl_Myristate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
ethyl_decanoate,7412,Ethyl_Decanoate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-heptanone,7413,2-Heptanone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
isopentyl_formate,7414,Isopentyl_formate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
hexane,7415,Hexane,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
amylamine,7416,Amylamine,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
pentanal,7417,Pentanal,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
propyl_formate,7418,Propyl_Formate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
diethyl_disulfide,7419,Diethyl_Disulfide,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
piperidine,7420,Piperidine,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
methyl_octanoate,7421,Methyl_octanoate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
octan-2-one,7422,Octan-2-one,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
heptanoic_acid,7423,Heptanoic_Acid,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1-hexanol,7424,1-Hexanol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
1-hexanethiol,7425,1-Hexanethiol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
propyl_sulfide,7426,Propyl_sulfide,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
ethyl_stearate,7427,Ethyl_Stearate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
1-heptanol,7428,1-Heptanol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
heptanal,7429,Heptanal,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
methyl_dodecanoate,7430,Methyl_Dodecanoate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
nonane,7431,Nonane,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
nonanoic_acid,7432,Nonanoic_Acid,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
heptyl_acetate,7433,Heptyl_acetate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-undecanone,7434,2-Undecanone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
octyl_acetate,7435,Octyl_acetate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
decyl_acetate,7436,Decyl_Acetate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
heptyl_formate,7437,Heptyl_formate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
1-decanol,7438,1-Decanol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
decanal,7439,Decanal,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
undecanoic_acid,7440,Undecanoic_Acid,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
methyl_palmitate,7441,Methyl_Palmitate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
dodecane,7442,Dodecane,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
1-undecanol,7443,1-Undecanol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
undecanal,7444,Undecanal,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
10-undecenal,7445,10-Undecenal,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
1-dodecanol,7446,1-Dodecanol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
dodecanal,7447,Dodecanal,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
methyl_stearate,7448,Methyl_Stearate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
dodecyl_acetate,7449,Dodecyl_Acetate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
eicosane,7450,Eicosane,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-methyl-3-buten-2-ol,7451,2-Methyl-3-Buten-2-Ol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
linalyl_acetate,7452,Linalyl_Acetate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-methylbutanoic_acid,7453,2-Methylbutanoic_acid,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
benzyl_salicylate,7454,Benzyl_Salicylate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
ethyl_salicylate,7455,Ethyl_salicylate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
maltol,7456,Maltol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2'-hydroxyacetophenone,7457,2'-Hydroxyacetophenone,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
isoquinoline,7458,Isoquinoline,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"3,4-dimethoxybenzaldehyde",7459,"3,4-Dimethoxybenzaldehyde",aromatic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1-phenylethyl_propionate,7460,1-Phenylethyl_propionate,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
piperonal,7461,Piperonal,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
cyclopentanone,7462,Cyclopentanone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
vanillic_acid,7463,Vanillic_acid,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
methyl_4-methoxybenzoate,7464,Methyl_4-Methoxybenzoate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
4'-methylacetophenone,7465,4'-Methylacetophenone,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
methyl_anthranilate,7466,Methyl_Anthranilate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
