node_id,name,id,node_type,is_hub,cleaned_name
160,apple_butter,,ingredient,no_hub,apple_butter
161,apple_chip,,ingredient,no_hub,apple_chip
162,apple_cider,,ingredient,no_hub,apple_cider
163,apple_cider_vinegar,,ingredient,hub,apple_cider_vinegar
164,apple_jelly,,ingredient,no_hub,apple_jelly
165,apple_juice,,ingredient,no_hub,apple
166,apple_juice_concentrate,,ingredient,no_hub,apple_juice_concentrate
167,apple_liqueur,,ingredient,no_hub,apple_liqueur
168,apple_pie,,ingredient,no_hub,apple_pie
169,apple_pie_filling,,ingredient,no_hub,apple_pie_filling
170,apple_pie_spice,,ingredient,no_hub,apple_pie
171,apple_schnapps,,ingredient,no_hub,apple_schnapps
172,apple_smoked_bacon,,ingredient,no_hub,apple_smoked_bacon
173,applejack,,ingredient,no_hub,applejack
174,applesauce,,ingredient,no_hub,applesauce
175,apricot,,ingredient,hub,apricot
176,apricot_baby_food,,ingredient,no_hub,apricot_baby_food
177,apricot_brandy,,ingredient,no_hub,apricot_brandy
178,apricot_filling,,ingredient,no_hub,apricot_filling
179,apricot_fruit_spread,,ingredient,no_hub,apricot_fruit_spread
180,apricot_gelatin,,ingredient,no_hub,apricot_gelatin
181,apricot_half,,ingredient,no_hub,apricot_half
182,apricot_jam,,ingredient,no_hub,apricot_jam
184,apricot_liqueur,,ingredient,no_hub,apricot_liqueur
185,apricot_nectar,,ingredient,no_hub,apricot_nectar
186,apricot_preserve,,ingredient,no_hub,apricot_preserve
187,apricot_puree,,ingredient,no_hub,apricot
188,aquavit,,ingredient,no_hub,aquavit
189,arame_seaweed,,ingredient,no_hub,arame_seaweed
190,arbol_chile,,ingredient,no_hub,arbol_chile
191,arborio_rice,,ingredient,no_hub,arborio_rice
192,arctic_char,,ingredient,no_hub,arctic_char
193,arm_roast,,ingredient,no_hub,arm_roast
194,armagnac,,ingredient,no_hub,armagnac
195,aromatic_bitter,,ingredient,no_hub,aromatic_bitter
196,arrowroot,,ingredient,hub,arrowroot
197,artichoke,,ingredient,hub,artichoke
198,artichoke_bottom,,ingredient,no_hub,artichoke_bottom
199,artichoke_heart,,ingredient,no_hub,artichoke_heart
201,artisan_bread,,ingredient,no_hub,artisan_bread
202,arugula,,ingredient,no_hub,arugula
203,arugula_leaf,,ingredient,no_hub,arugula_leaf
204,asadero_cheese,,ingredient,no_hub,asadero_cheese
205,asafoetida_powder,,ingredient,no_hub,asafoetida
206,ascorbic_acid,,ingredient,no_hub,ascorbic_acid
207,asiago_cheese,,ingredient,no_hub,asiago_cheese
208,asian_chili_sauce,,ingredient,no_hub,asian_chili
210,asian_pear,,ingredient,no_hub,asian_pear
211,asian_seasoning,,ingredient,no_hub,asian
213,asparagus,,ingredient,hub,asparagus
214,asparagus_spear,,ingredient,no_hub,asparagus_spear
215,asparagus_tip,,ingredient,no_hub,asparagus_tip
216,assorted_fresh_vegetable,,ingredient,no_hub,assorted_fresh
217,atkins_baking_mix,,ingredient,no_hub,atkins_baking
218,au_gratin_potato,,ingredient,no_hub,au_gratin_potato
219,au_gratin_potato_mix,,ingredient,no_hub,au_gratin_potato
220,au_jus_mix,,ingredient,no_hub,au_jus
221,au_jus_sauce,,ingredient,no_hub,au_jus
222,aubergine,,ingredient,no_hub,aubergine
223,avocado,,ingredient,hub,avocado
224,avocado_dip,,ingredient,no_hub,avocado_dip
225,avocado_oil,,ingredient,no_hub,avocado
226,azuki_bean,,ingredient,no_hub,azuki_bean
227,baby_artichoke,,ingredient,no_hub,baby_artichoke
228,baby_arugula,,ingredient,no_hub,baby_arugula
229,baby_back_rib,,ingredient,no_hub,baby_back_rib
230,baby_back_rib_rack,,ingredient,no_hub,baby_back_rib_rack
231,baby_beet,,ingredient,no_hub,baby_beet
232,baby_bella_mushroom,,ingredient,no_hub,baby_bella_mushroom
233,baby_bok_choy,,ingredient,no_hub,baby_bok_choy
234,baby_calamari,,ingredient,no_hub,baby_calamari
235,baby_carrot,,ingredient,no_hub,baby_carrot
236,baby_chicken,,ingredient,no_hub,baby_chicken
237,baby_clam,,ingredient,no_hub,baby_clam
238,baby_corn,,ingredient,no_hub,baby_corn
239,baby_dill_pickle,,ingredient,no_hub,baby_dill_pickle
240,baby_eggplant,,ingredient,no_hub,baby_eggplant
241,baby_food,,ingredient,no_hub,baby_food
242,baby_green,,ingredient,no_hub,baby_green
243,baby_green_pea,,ingredient,no_hub,baby_green_pea
244,baby_leek,,ingredient,no_hub,baby_leek
245,baby_lettuce,,ingredient,no_hub,baby_lettuce
246,baby_lima_bean,,ingredient,no_hub,baby_lima_bean
247,baby_octopus,,ingredient,no_hub,baby_octopus
248,baby_onion,,ingredient,no_hub,baby_onion
249,baby_pea,,ingredient,no_hub,baby_pea
250,baby_portabella_mushroom,,ingredient,no_hub,baby_portabella_mushroom
